Type,PU Volt,Angle (Deg),Gen MW,Gen Mvar,Load MW,Load Mvar,Gen Mvar(max),Gen Mvar(min),"Slack yes,no",Slack Weight
1.0,1.0499999412770995,0.0,0.0,,0.0,0.0,,,1.0,1.0
3.0,1.0492593775684067,-1.9028576285185244,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.048766421528438,-1.7732478450903693,1.0212226756696772,,1.8477479964291852,0.607325396802364,10.0,-10.0,0.0,0.0
2.0,1.048077332406968,-1.4546844441872735,3.893488613213338e-12,,1.7507978873274943,0.6377870248290719,20.0,-20.0,0.0,0.0
3.0,1.0473878561318286,0.9983090084751924,0.0,,1.539602968316656,0.5060430239718818,,,0.0,0.0
3.0,1.0480301567449526,-1.686915732813935,0.0,,0.23537344698934703,0.21220668427712738,,,0.0,0.0
2.0,1.0499895733196438,1.616647599058156,2.981837912336363e-10,,2.1589636776677095,0.8125999900769186,40.0,-40.0,0.0,0.0
3.0,1.0494276172012014,-0.0255274355936724,0.0,,0.0,0.0,,,0.0,0.0
2.0,1.0492473392339143,1.273689805645621,0.5000000001125643,,0.7914003134512448,0.3123587710904724,20.0,-20.0,0.0,0.0
2.0,1.0492142892742633,-0.6505627252823064,0.47999999999983795,,1.0319918253304936,0.34813601026216867,10.0,-10.0,0.0,0.0
2.0,1.049999999928264,-1.8551544429522355,4.631125980325497,,3.7369044376516767,1.229521200350951,30.0,-30.0,0.0,0.0
2.0,1.0499999999762246,-1.8107445819627104,5.4630563996584804,,1.6717553781207255,0.5847739371785345,40.0,-40.0,0.0,0.0
2.0,1.0499999992924645,-1.911474153794429,5.327870282399399,,2.8125769269682395,0.9385324714892899,40.0,-40.0,0.0,0.0
2.0,1.0497406028103238,-2.1127796141056905,0.8299999980447329,,1.1537483388034708,0.3874685108839313,10.0,-10.0,0.0,0.0
2.0,1.0499999996689573,-1.641025193151774,1.4185577476271545,,1.5717971645511724,0.5166247445531765,10.0,-10.0,0.0,0.0
2.0,1.0499999966361817,-1.917383123863798,2.3880971911206297,,2.0706337351920143,0.7200807186167586,40.0,-40.0,0.0,0.0
2.0,1.0457481630676844,-7.62075987681241,0.2500000000000984,,3.1752974303694157,1.0436697945777151,10.0,-10.0,0.0,0.0
3.0,1.0443188063186366,-7.398525144549776,0.0,,7.036387240500778,2.3202246492661884,,,0.0,0.0
2.0,1.0499809152181256,2.9511651479143635,1.8786239127617384e-10,,0.0,0.0,20.0,-20.0,0.0,0.0
3.0,1.0474074763659118,-5.010855559141169,0.0,,2.527053230220195,0.8306022297142804,,,0.0,0.0
3.0,1.0499999999595615,-2.1609207277375484,0.0,,0.0,0.0,,,0.0,0.0
